experiment_id,experiment_name,date,timestamp,git_commit,status,model_type,use_step_mlp,step_mlp_dim,step_features_used,use_cost_aware_gating,heuristic_type,lambda_heuristic,embedding_dim,hidden_dim,n_encode_layers,graph_size,n_epochs,batch_size,learning_rate,lr_decay,baseline,seed,training_method,stage_number,transfer_source_path,transfer_source_graph_size,layers_transferred,layers_initialized,final_train_cost,final_val_cost,test_mean_cost,test_std_cost,test_95th_percentile,test_min_cost,test_max_cost,optimality_gap,stage1_test_cost,stage2_test_cost,stage3_test_cost,best_epoch,convergence_epoch,epoch10_val_cost,epoch25_val_cost,epoch50_val_cost,convergence_speed,improvement_rate,total_training_time,time_per_epoch,total_samples_seen,samples_per_improvement,final_grad_norm,coefficient_of_variation,performance_stability,notes,issues,output_path
exp_001,run_20251128T085357,2025-11-28,20251128T085543,7bf6432,completed,attention,True,64,v2_light,False,linear_time,1.0,128,128,2,5,2,512,0.0001,0.995,rollout,1234,direct,1,,,0,55,,0.203635573387146,293.2352600097656,51.6706428527832,416.24908447265625,133.45347595214844,480.14398193359375,,,,,1,0,,,,1,0.0012484860565369774,1.7629040400187175,0.8456719001134236,256000,116312822.83485891,,0.17620883263173198,0.035601624064275694,direct (Stage 1). Best epoch: 1. ,,outputs\tsp_5\run_20251128T085357
exp_002,run_20251128T085551,2025-11-28,20251128T085737,7bf6432,completed,attention,True,64,v2_light,False,linear_time,1.0,128,128,2,5,2,512,0.0001,0.995,rollout,1234,direct,1,,,0,55,,0.203635573387146,293.2352600097656,51.6706428527832,416.24908447265625,133.45347595214844,480.14398193359375,,,,,1,0,,,,1,0.001247822618355071,1.7638413349787394,0.8440103828907013,256000,116312822.83485891,,0.17620883263173198,0.035601624064275694,direct (Stage 1). Best epoch: 1. ,,outputs\tsp_5\run_20251128T085551
exp_003,run_20251128T113229,2025-11-28,20251128T113516,7bf6432,completed,attention,True,64,v1_light(4dim),False,linear_time,1.0,128,128,2,5,2,512,0.0001,0.995,rollout,1234,direct,1,,,0,55,,0.20107299089431763,289.5451354980469,48.172523498535156,405.9008483886719,133.99859619140625,495.73724365234375,,,,,1,0,,,,1,0.0006318401877877482,2.7725056807200112,1.3010685245196025,256000,146137029.4658047,,0.16637310592586385,0.06093310208936409,direct (Stage 1). Best epoch: 1. ,,outputs\tsp_5\run_20251128T113229
exp_004,run_20251128T113545,2025-11-28,20251128T113837,7bf6432,completed,attention,True,64,v2_light(6dim),False,linear_time,1.0,128,128,2,5,2,512,0.0001,0.995,rollout,1234,direct,1,,,0,55,,0.203635573387146,293.2352600097656,51.6706428527832,416.24908447265625,133.45347595214844,480.14398193359375,,,,,1,0,,,,1,0.0007676073219120144,2.867300832271576,1.35134237408638,256000,116312822.83485891,,0.17620883263173198,0.035601624064275694,direct (Stage 1). Best epoch: 1. ,,outputs\tsp_5\run_20251128T113545
exp_005,run_20251128T113912,2025-11-28,20251128T114205,7bf6432,completed,attention,True,64,minimal(129dim),False,linear_time,1.0,128,128,2,5,2,512,0.0001,0.995,rollout,1234,direct,1,,,0,55,,0.20319466292858124,292.60028076171875,51.08856964111328,413.53155517578125,126.80255889892578,482.01348876953125,,,,,1,0,,,,1,0.000516012396138209,2.879378080368042,1.3551296333471934,256000,172298357.075519,,0.17460191599309383,0.02006588807631593,direct (Stage 1). Best epoch: 1. ,,outputs\tsp_5\run_20251128T113912
exp_006,run_20260103T220857,2026-01-03,20260103T221005,a35c5d4b,partial_failure,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,5,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.20490306615829468,,,,,,,,,,0,0,,,,1,0.0,1.1250319957733155,1.068937067190806,128000,,,,,direct (Stage 1). Best epoch: 0. Training had issues.,Final evaluation failed: 'NoneType' object has no attribute 'data',outputs\tsp_5\run_20260103T220857
exp_007,run_20260103T221534,2026-01-03,20260103T221639,a35c5d4b,partial_failure,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,5,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.20490306615829468,,,,,,,,,,0,0,,,,1,0.0,1.0795108675956726,1.0254043539365132,128000,,,,,direct (Stage 1). Best epoch: 0. Training had issues.,Final evaluation failed: 'NoneType' object has no attribute 'data',outputs\tsp_5\run_20260103T221534
exp_008,run_20260103T222120,2026-01-03,20260103T222228,a35c5d4b,partial_failure,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,5,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.20490306615829468,,,,,,,,,,0,0,,,,1,0.0,1.122681705156962,1.068143935998281,128000,,,,,direct (Stage 1). Best epoch: 0. Training had issues.,Final evaluation failed: 'NoneType' object has no attribute 'data',outputs\tsp_5\run_20260103T222120
exp_009,run_20260103T222616,2026-01-03,20260103T222722,a35c5d4b,partial_failure,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,5,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.20490306615829468,,,,,,,,,,0,0,,,,1,0.0,1.0889680107434592,1.0340389172236124,128000,,,,,direct (Stage 1). Best epoch: 0. Training had issues.,Final evaluation failed: 'NoneType' object has no attribute 'data',outputs\tsp_5\run_20260103T222616
exp_010,run_20260104T083812,2026-01-04,20260104T084021,a35c5d4b,partial_failure,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,5,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.20490306615829468,,,,,,,,,,0,0,,,,1,0.0,2.143897585074107,2.003949320316315,128000,,,,,direct (Stage 1). Best epoch: 0. Training had issues.,Final evaluation failed: 'NoneType' object has no attribute 'data',outputs\tsp_5\run_20260104T083812
exp_011,run_20260104T090423,2026-01-04,20260104T090636,a35c5d4b,partial_failure,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,5,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.20490306615829468,,,,,,,,,,0,0,,,,1,0.0,2.2081898848215737,2.064561363061269,128000,,,,,direct (Stage 1). Best epoch: 0. Training had issues.,Final evaluation failed: 'NoneType' object has no attribute 'data',outputs\tsp_5\run_20260104T090423
exp_012,run_20260104T091914,2026-01-04,20260104T092121,a35c5d4b,partial_failure,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,5,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.20490306615829468,,,,,,,,,,0,0,,,,1,0.0,2.1100801666577658,1.9789267460505167,128000,,,,,direct (Stage 1). Best epoch: 0. Training had issues.,Final evaluation failed: 'NoneType' object has no attribute 'data',outputs\tsp_5\run_20260104T091914
exp_013,run_20260104T092235,2026-01-04,20260104T092444,a35c5d4b,partial_failure,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,5,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.20490306615829468,,,,,,,,,,0,0,,,,1,0.0,2.137332876523336,2.0079702297846476,128000,,,,,direct (Stage 1). Best epoch: 0. Training had issues.,Final evaluation failed: 'NoneType' object has no attribute 'data',outputs\tsp_5\run_20260104T092235
exp_014,run_20260104T094046,2026-01-04,20260104T094253,a35c5d4b,partial_failure,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,5,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.20490306615829468,,,,,,,,,,0,0,,,,1,0.0,2.121716320514679,1.9828821857770285,128000,,,,,direct (Stage 1). Best epoch: 0. Training had issues.,Final evaluation failed: 'NoneType' object has no attribute 'data',outputs\tsp_5\run_20260104T094046
exp_015,run_20260104T094803,2026-01-04,20260104T095011,a35c5d4b,partial_failure,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,5,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.20490306615829468,,,,,,,,,,0,0,,,,1,0.0,2.1284682790438336,1.9977718830108642,128000,,,,,direct (Stage 1). Best epoch: 0. Training had issues.,Final evaluation failed: Can only calculate the mean of floating types. Got Long instead.,outputs\tsp_5\run_20260104T094803
exp_016,run_20260104T095554,2026-01-04,20260104T095801,a35c5d4b,completed,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,5,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.20490306615829468,4320.0,2036.6712646484375,7200.0,1440.0,7200.0,,,,,0,0,,,,1,0.0,2.105299945672353,1.9740773836771648,128000,,,0.47145168163158274,0,direct (Stage 1). Best epoch: 0. ,,outputs\tsp_5\run_20260104T095554
exp_017,baseline_full_20_20260104T115854,2026-01-04,20260104T120504,a35c5d4b,completed,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,False,12,0,one_time,0.5,2,20,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,49,,0.46998870372772217,15120.0,8303.65234375,27430.3125,1440.0,28800.0,,,,,0,0,,,,1,0.0,6.146321304639181,6.045766321818034,128000,,,0.5491833560681217,0,direct (Stage 1). Best epoch: 0. ,,outputs\tsp_20\baseline_full_20_20260104T115854
exp_018,exp1_W3_20260104T121008,2026-01-04,20260104T121738,a35c5d4b,completed,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,True,3,3,one_time,0.5,2,20,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.4576382339000702,15120.0,8303.65234375,27430.3125,1440.0,28800.0,,,,,0,0,,,,1,0.0,7.46926873922348,7.363493613402048,128000,,,0.5491833560681217,0,direct (Stage 1). Best epoch: 0. ,,outputs\tsp_20\exp1_W3_20260104T121008
exp_019,exp1_W3_20260104T122003,2026-01-04,20260104T123349,a35c5d4b,completed,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,True,3,3,buffer,0.5,2,20,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.46419596672058105,15120.0,8303.65234375,27430.3125,1440.0,28800.0,,,,,0,0,,,,1,0.0,13.742615660031637,13.618409252166748,128000,,,0.5491833560681217,0,direct (Stage 1). Best epoch: 0. ,,outputs\tsp_20\exp1_W3_20260104T122003
exp_020,exp1_W3_20260104T123534,2026-01-04,20260104T124201,a35c5d4b,completed,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,True,3,3,periodic,0.5,2,20,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.45681896805763245,15120.0,8303.65234375,27430.3125,1440.0,28800.0,,,,,0,0,,,,1,0.0,6.41906422773997,6.322154474258423,128000,,,0.5491833560681217,0,direct (Stage 1). Best epoch: 0. ,,outputs\tsp_20\exp1_W3_20260104T123534
exp_021,exp1_W3_20260104T135633,2026-01-04,20260104T140247,a35c5d4b,completed,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,True,-1,3,none,0.5,2,20,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.46353572607040405,15120.0,8303.65234375,27430.3125,1440.0,28800.0,,,,,0,0,,,,1,0.0,6.207329018910726,6.11074101527532,128000,,,0.5491833560681217,0,direct (Stage 1). Best epoch: 0. ,,outputs\tsp_20\exp1_W3_20260104T135633
exp_022,exp1_W3_20260104T172800,2026-01-04,20260104T173534,a35c5d4b,completed,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,True,-1,3,none,0.5,2,20,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.46353572607040405,15120.0,8303.65234375,27430.3125,1440.0,28800.0,,,,,0,0,,,,1,0.0,7.541205863157908,7.441296192010244,128000,,,0.5491833560681217,0,direct (Stage 1). Best epoch: 0. ,,outputs\tsp_20\exp1_W3_20260104T172800
exp_023,exp1_W3_20260104T182819,2026-01-04,20260104T183744,a35c5d4b,completed,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,True,3,3,one_time,0.5,2,20,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.48608556389808655,15120.0,8303.65234375,27430.3125,1440.0,28800.0,,,,,0,0,,,,1,0.0,9.383474667867025,9.265147721767425,128000,,,0.5491833560681217,0,direct (Stage 1). Best epoch: 0. ,,outputs\tsp_20\exp1_W3_20260104T182819
exp_024,exp1_W3_20260104T183859,2026-01-04,20260104T184541,a35c5d4b,completed,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,True,-1,3,none,0.5,2,20,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.46353572607040405,15120.0,8303.65234375,27430.3125,1440.0,28800.0,,,,,0,0,,,,1,0.0,6.67404572168986,6.567444809277853,128000,,,0.5491833560681217,0,direct (Stage 1). Best epoch: 0. ,,outputs\tsp_20\exp1_W3_20260104T183859
exp_025,exp1_W3_20260104T184730,2026-01-04,20260104T185411,a35c5d4b,completed,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,False,12,0,one_time,0.5,2,20,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,49,,0.46998870372772217,15120.0,8303.65234375,27430.3125,1440.0,28800.0,,,,,0,0,,,,1,0.0,6.642406864960988,6.534044949213664,128000,,,0.5491833560681217,0,direct (Stage 1). Best epoch: 0. ,,outputs\tsp_20\exp1_W3_20260104T184730
exp_026,exp1_W3_20260104T185513,2026-01-04,20260104T190211,a35c5d4b,completed,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,True,3,3,periodic,0.5,2,20,1,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.47981223464012146,15120.0,8303.65234375,27430.3125,1440.0,28800.0,,,,,0,0,,,,1,0.0,6.949872982501984,6.845808529853821,128000,,,0.5491833560681217,0,direct (Stage 1). Best epoch: 0. ,,outputs\tsp_20\exp1_W3_20260104T185513
exp_027,exp_GS5_W3_20260105T232659,2026-01-05,20260105T233125,a35c5d4b,completed,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,True,3,3,one_time,0.5,2,5,3,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.20563147962093353,4320.0,2036.6712646484375,7200.0,1440.0,7200.0,,,,,2,0,,,,1,0.0009135116001933816,4.422774863243103,1.452079317304823,384000,95043479.03827217,,0.47145168163158274,0,direct (Stage 1). Best epoch: 2. ,,outputs\tsp_5\exp_GS5_W3_20260105T232659
exp_028,exp_GS5_W6_20260105T233238,2026-01-05,20260105T233726,a35c5d4b,completed,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,True,6,3,one_time,0.5,2,5,3,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.20528383553028107,4320.0,2036.6712646484375,7200.0,1440.0,7200.0,,,,,2,0,,,,1,0.0008165751169450213,4.795615708827972,1.5750508507092793,384000,98059733.46727702,,0.47145168163158274,0,direct (Stage 1). Best epoch: 2. ,,outputs\tsp_5\exp_GS5_W6_20260105T233238
exp_029,exp_GS5_W6_v2_20260105T234545,2026-01-05,20260105T235042,a35c5d4b,completed,attention,False,64,none(0dim),False,linear_time,1.0,128,128,2,True,6,3,one_time,0.5,2,5,3,512,0.0001,0.995,rollout,1234,direct,1,,,0,51,,0.20528383553028107,4320.0,2036.6712646484375,7200.0,1440.0,7200.0,,,,,2,0,,,,1,0.0007894462547033329,4.960414258639018,1.6317974077330697,384000,98059733.46727702,,0.47145168163158274,0,direct (Stage 1). Best epoch: 2. ,,outputs\tsp_5\exp_GS5_W6_v2_20260105T234545
